Name,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other,Plants,Fungi,Chromists,Total
Pakistan,24,33,15,0,109,0,18,19,0,0,218
"Palestine, State of",5,15,4,0,16,2,1,11,0,0,54
Qatar,4,9,3,0,41,0,13,0,0,0,70
Saudi Arabia,11,19,3,0,71,1,59,4,0,0,168
Syrian Arab Republic,15,17,9,0,63,10,12,44,0,0,170
Tajikistan,7,15,6,0,6,0,3,11,1,0,49
Turkey,18,21,21,10,151,46,42,135,8,0,452
Turkmenistan,9,19,6,0,14,1,6,4,0,0,59
United Arab Emirates,8,13,5,0,52,0,15,0,0,0,93
Uzbekistan,10,19,8,0,8,1,2,15,0,0,63
Yemen,12,17,7,1,67,2,66,164,0,0,336
